Date,ENGLAND,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
01-Aug-20,879,85,126,216,117,191,123,21
02-Aug-20,847,80,120,194,120,188,122,23
03-Aug-20,842,73,122,206,115,181,122,23
04-Aug-20,807,69,118,182,123,181,111,23
05-Aug-20,805,70,111,181,128,183,106,26
06-Aug-20,756,72,113,179,132,160,78,22
07-Aug-20,711,60,105,178,111,160,77,20
08-Aug-20,650,59,126,96,117,154,80,18
09-Aug-20,611,59,107,101,117,136,72,19
10-Aug-20,714,63,107,160,121,161,82,20
11-Aug-20,672,61,105,154,114,154,68,16
12-Aug-20,642,56,111,148,108,145,59,15
13-Aug-20,652,57,104,150,114,149,63,15
14-Aug-20,642,52,103,141,108,148,72,18
15-Aug-20,630,60,100,141,102,138,72,17
16-Aug-20,634,54,100,146,102,137,71,24
17-Aug-20,626,57,107,157,99,118,69,19
18-Aug-20,597,47,98,160,90,113,70,19
19-Aug-20,571,49,90,156,88,105,65,18
20-Aug-20,551,47,89,145,82,106,64,18
21-Aug-20,528,40,84,138,82,102,64,18
22-Aug-20,594,34,79,146,154,108,51,22
23-Aug-20,522,31,84,149,82,103,53,20
24-Aug-20,522,35,85,148,83,99,54,18
25-Aug-20,500,28,81,147,79,98,50,17
26-Aug-20,485,37,83,140,79,81,48,17
27-Aug-20,492,29,86,143,83,89,47,15
28-Aug-20,469,30,82,135,80,89,39,14
29-Aug-20,478,30,73,133,84,103,37,18
30-Aug-20,479,30,78,131,82,102,39,17
31-Aug-20,495,31,81,127,82,114,42,18
01-Sep-20,496,31,88,123,81,119,39,15
02-Sep-20,451,31,84,85,84,116,38,13
03-Sep-20,468,31,87,83,86,130,39,12
04-Sep-20,474,30,86,81,89,133,43,12
05-Sep-20,471,25,90,80,89,136,40,11
06-Sep-20,483,27,87,79,90,142,44,14
07-Sep-20,555,27,98,96,100,167,53,14
08-Sep-20,535,25,100,97,84,169,47,13
09-Sep-20,557,31,96,100,92,176,48,14
10-Sep-20,572,27,98,107,95,177,53,15
11-Sep-20,622,15,115,118,117,184,59,14
12-Sep-20,663,20,98,132,130,201,63,19
13-Sep-20,691,21,100,151,143,198,61,17
14-Sep-20,812,25,123,164,155,257,71,17
15-Sep-20,891,35,136,198,155,274,78,15
16-Sep-20,929,40,137,189,188,292,64,19
17-Sep-20,984,42,147,187,208,314,72,14
18-Sep-20,1020,37,150,206,214,315,82,16
19-Sep-20,1081,39,161,221,226,340,74,20
20-Sep-20,1174,38,171,248,254,359,79,25
21-Sep-20,1299,41,190,265,285,398,91,29
22-Sep-20,1378,42,210,278,303,424,87,34
23-Sep-20,1439,37,210,286,313,461,94,38
24-Sep-20,1546,41,219,304,337,506,104,35
25-Sep-20,1686,45,230,346,379,540,110,36
26-Sep-20,1689,52,200,345,393,560,102,37
27-Sep-20,1793,64,224,369,420,562,114,40
28-Sep-20,1955,76,267,382,444,631,117,38
29-Sep-20,1954,89,275,379,429,637,103,42
30-Sep-20,2036,86,278,374,474,686,103,35
01-Oct-20,2069,79,275,391,502,688,98,36
02-Oct-20,2180,93,276,415,544,704,109,39
03-Oct-20,2290,101,280,417,584,758,100,50
04-Oct-20,2435,98,287,447,586,852,108,57
05-Oct-20,2705,115,326,479,673,930,119,63
06-Oct-20,2903,119,320,495,741,1043,121,64
07-Oct-20,3066,128,350,517,790,1077,134,70
08-Oct-20,3179,119,343,522,836,1146,144,69
09-Oct-20,3238,135,348,548,804,1158,162,83
10-Oct-20,3369,135,341,549,874,1213,163,94
11-Oct-20,3604,140,365,611,940,1274,175,99
12-Oct-20,3827,149,389,661,1025,1304,189,110
13-Oct-20,4105,166,442,667,1054,1460,204,112
14-Oct-20,4313,183,430,707,1092,1554,225,122
15-Oct-20,4569,217,439,796,1147,1610,233,127
16-Oct-20,4854,223,490,843,1169,1710,263,156
17-Oct-20,5029,241,502,872,1200,1772,279,163
18-Oct-20,5202,241,542,905,1269,1849,228,168
19-Oct-20,5644,277,594,1003,1362,1884,326,198
20-Oct-20,6072,295,610,1090,1436,2099,325,217
21-Oct-20,6271,314,633,1148,1496,2097,358,225
22-Oct-20,6345,334,606,1230,1574,2017,339,245
23-Oct-20,6842,343,698,1301,1638,2200,405,257
24-Oct-20,7176,356,722,1379,1730,2269,456,264
25-Oct-20,7612,406,762,1449,1851,2396,477,271
26-Oct-20,7856,419,815,1330,2004,2495,483,310
27-Oct-20,8595,454,889,1700,2116,2566,528,342
28-Oct-20,9070,474,933,1935,2204,2603,541,380
29-Oct-20,9127,476,921,1871,2216,2676,566,401
30-Oct-20,9295,501,945,1950,2299,2593,589,418
31-Oct-20,9782,505,963,2010,2482,2752,617,453
01-Nov-20,9623,527,1032,1929,2209,2800,665,461
02-Nov-20,10397,555,1067,2044,2624,2883,713,511
