date,ENGLAND,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
01-Aug-20,74,9,16,13,9,15,12,0
02-Aug-20,72,9,15,10,8,15,15,0
03-Aug-20,67,8,17,10,7,13,12,0
04-Aug-20,65,8,15,13,7,13,9,0
05-Aug-20,63,8,13,13,7,13,9,0
06-Aug-20,61,9,11,14,6,13,8,0
07-Aug-20,57,9,10,10,7,13,8,0
08-Aug-20,55,11,10,5,8,14,7,0
09-Aug-20,56,9,12,6,7,14,8,0
10-Aug-20,60,8,12,9,5,18,8,0
11-Aug-20,63,8,13,9,4,21,8,0
12-Aug-20,68,8,17,9,4,23,7,0
13-Aug-20,64,9,15,8,4,19,9,0
14-Aug-20,63,6,15,9,5,18,10,0
15-Aug-20,68,8,15,9,6,21,9,0
16-Aug-20,69,7,19,7,6,20,9,1
17-Aug-20,67,8,19,6,7,17,9,1
18-Aug-20,64,6,19,6,7,16,9,1
19-Aug-20,63,6,15,7,7,18,8,2
20-Aug-20,64,6,15,7,8,19,8,1
21-Aug-20,64,6,16,6,7,19,9,1
22-Aug-20,66,7,18,7,6,19,8,1
23-Aug-20,65,5,20,7,5,18,8,2
24-Aug-20,62,5,15,8,5,18,9,2
25-Aug-20,62,5,16,10,6,14,9,2
26-Aug-20,55,5,16,7,7,12,6,2
27-Aug-20,62,5,16,10,9,14,6,2
28-Aug-20,52,4,12,6,9,12,7,2
29-Aug-20,56,4,15,8,10,11,5,3
30-Aug-20,52,3,13,11,10,10,3,2
31-Aug-20,54,3,14,10,10,12,3,2
01-Sep-20,59,3,14,10,9,17,4,2
02-Sep-20,59,3,13,9,11,17,4,2
03-Sep-20,58,3,12,9,11,16,5,2
04-Sep-20,54,1,12,7,11,16,6,1
05-Sep-20,50,1,11,8,12,13,4,1
06-Sep-20,52,1,13,9,13,12,3,1
07-Sep-20,62,1,13,12,17,15,3,1
08-Sep-20,64,1,15,13,15,16,3,1
09-Sep-20,64,4,16,13,14,14,2,1
10-Sep-20,62,2,14,14,14,13,3,2
11-Sep-20,129,67,15,15,12,16,2,2
12-Sep-20,70,2,12,18,14,19,3,2
13-Sep-20,74,2,16,18,15,18,3,2
14-Sep-20,88,3,21,21,16,23,3,1
15-Sep-20,101,3,26,25,18,25,3,1
16-Sep-20,107,3,26,28,15,29,5,1
17-Sep-20,108,3,25,26,15,32,6,1
18-Sep-20,115,2,25,29,18,34,5,2
19-Sep-20,123,3,32,29,21,33,4,1
20-Sep-20,142,2,32,37,28,39,3,1
21-Sep-20,154,3,31,42,33,40,4,1
22-Sep-20,179,3,37,44,42,46,5,2
23-Sep-20,192,2,35,49,41,56,7,2
24-Sep-20,209,4,40,54,43,60,5,3
25-Sep-20,227,3,47,56,45,69,4,3
26-Sep-20,223,5,38,48,47,77,6,2
27-Sep-20,233,6,48,53,52,68,4,2
28-Sep-20,245,9,48,53,55,74,5,1
