,,,,20-Nov-17,,,21-Nov-17,,,22-Nov-17,,,23-Nov-17,,,24-Nov-17,,,25-Nov-17,,,26-Nov-17,,,27-Nov-17,,,28-Nov-17,,,29-Nov-17,,,30-Nov-17,,,01-Dec-17,,,02-Dec-17,,,03-Dec-17,,,04-Dec-17,,,05-Dec-17,,,06-Dec-17,,,07-Dec-17,,,08-Dec-17,,,09-Dec-17,,,10-Dec-17,,,11-Dec-17,,,12-Dec-17,,,13-Dec-17,,,14-Dec-17,,,15-Dec-17,,,16-Dec-17,,,17-Dec-17,,,18-Dec-17,,,19-Dec-17,,,20-Dec-17,,,21-Dec-17,,,22-Dec-17,,,23-Dec-17,,,24-Dec-17,,,25-Dec-17,,,26-Dec-17,,,27-Dec-17,,,28-Dec-17,,,29-Dec-17,,,30-Dec-17,,,31-Dec-17,,,01-Jan-18,,,02-Jan-18,,,03-Jan-18,,,04-Jan-18,,,05-Jan-18,,,06-Jan-18,,,07-Jan-18,,,08-Jan-18,,,09-Jan-18,,,10-Jan-18,,,11-Jan-18,,,12-Jan-18,,,13-Jan-18,,,14-Jan-18,,,15-Jan-18,,,16-Jan-18,,,17-Jan-18,,,18-Jan-18,,,19-Jan-18,,,20-Jan-18,,,21-Jan-18,,,22-Jan-18,,,23-Jan-18,,,24-Jan-18,,,25-Jan-18,,,26-Jan-18,,,27-Jan-18,,,28-Jan-18,,,29-Jan-18,,,30-Jan-18,,,31-Jan-18,,,01-Feb-18,,,02-Feb-18,,,03-Feb-18,,,04-Feb-18,,,05-Feb-18,,,06-Feb-18,,,07-Feb-18,,,08-Feb-18,,,09-Feb-18,,,10-Feb-18,,,11-Feb-18,,,12-Feb-18,,,13-Feb-18,,,14-Feb-18,,,15-Feb-18,,,16-Feb-18,,,17-Feb-18,,,18-Feb-18,,,19-Feb-18,,,20-Feb-18,,,21-Feb-18,,,22-Feb-18,,,23-Feb-18,,,24-Feb-18,,,25-Feb-18,,,26-Feb-18,,,27-Feb-18,,,28-Feb-18,,,01-Mar-18,,,02-Mar-18,,,03-Mar-18,,,04-Mar-18,,
NHS England Region,,Code,Name,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult avail,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate
-,,-,ENGLAND,"3,638","2,942",80.9%,"3,567","2,973",83.3%,"3,604","3,017",83.7%,"3,682","3,092",84.0%,"3,553","2,878",81.0%,"3,546","2,829",79.8%,"3,591","2,831",78.8%,"3,699","3,051",82.5%,"3,700","3,119",84.3%,"3,703","3,147",85.0%,"3,704","3,149",85.0%,"3,640","2,989",82.1%,"3,659","2,947",80.5%,"3,688","2,960",80.3%,"3,675","3,114",84.7%,"3,699","3,191",86.3%,"3,729","3,244",87.0%,"3,715","3,224",86.8%,"3,617","3,020",83.5%,"3,621","3,004",83.0%,"3,667","3,403",92.8%,"3,690","3,137",85.0%,"3,689","3,157",85.6%,"3,692","3,182",86.2%,"3,690","3,187",86.4%,"3,649","3,096",84.8%,"3,591","3,028",84.3%,"3,627","3,050",84.1%,"3,686","3,176",86.2%,"3,703","3,156",85.2%,"3,702","3,096",83.6%,"3,704","3,093",83.5%,"3,686","2,974",80.7%,"3,579","2,799",78.2%,"3,479","2,689",77.3%,"3,638","2,791",76.7%,"3,664","2,874",78.4%,"3,670","3,029",82.5%,"3,687","3,122",84.7%,"3,672","3,052",83.1%,"3,656","3,055",83.6%,"3,585","3,017",84.2%,"3,706","3,115",84.1%,"3,704","3,270",88.3%,"3,719","3,267",87.8%,"3,717","3,292",88.6%,"3,703","3,251",87.8%,"3,700","3,200",86.5%,"3,721","3,148",84.6%,"3,720","3,275",88.0%,"3,727","3,258",87.4%,"3,740","3,260",87.2%,"3,732","3,277",87.8%,"3,697","3,190",86.3%,"3,662","3,128",85.4%,"3,697","3,182",86.1%,"3,725","3,262",87.6%,"3,720","3,254",87.5%,"3,721","3,250",87.3%,"3,655","3,159",86.4%,"3,583","3,139",87.6%,"3,570","3,048",85.4%,"3,626","3,061",84.4%,"3,669","3,163",86.2%,"3,681","3,175",86.3%,"3,679","3,168",86.1%,"3,682","3,185",86.5%,"3,603","3,054",84.8%,"3,568","2,976",83.4%,"3,651","3,022",82.8%,"3,666","3,155",86.1%,"3,677","3,180",86.5%,"3,671","3,142",85.6%,"3,682","3,145",85.4%,"3,667","3,116",85.0%,"3,611","3,025",83.8%,"3,620","2,994",82.7%,"3,675","3,161",86.0%,"3,671","3,189",86.9%,"3,664","3,194",87.2%,"3,682","3,158",85.8%,"3,638","3,113",85.6%,"3,562","2,971",83.4%,"3,607","3,021",83.8%,"3,671","3,079",83.9%,"3,682","3,148",85.5%,"3,684","3,175",86.2%,"3,659","3,154",86.2%,"3,618","3,046",84.2%,"3,614","3,032",83.9%,"3,664","3,048",83.2%,"3,655","3,182",87.1%,"3,666","3,210",87.6%,"3,660","3,192",87.2%,"3,667","3,181",86.7%,"3,643","3,081",84.6%,"3,619","3,022",83.5%,"3,624","3,017",83.3%,"3,542","3,053",86.2%,"3,667","3,188",86.9%,"3,609","3,106",86.1%,"3,685","3,208",87.1%,"3,608","3,060",84.8%,"3,605","2,997",83.1%,"3,658","3,011",82.3%
,,,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,9,9,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,9,9,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,9,9,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,9,9,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Commissioning Region,,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",52,46,88.5%,52,47,90.4%,52,44,84.6%,52,43,82.7%,52,34,65.4%,52,34,65.4%,52,31,59.6%,52,29,55.8%,52,38,73.1%,52,40,76.9%,52,46,88.5%,52,43,82.7%,52,33,63.5%,52,42,80.8%,52,41,78.8%,52,45,86.5%,52,46,88.5%,52,46,88.5%,52,36,69.2%,52,43,82.7%,52,37,71.2%,52,35,67.3%,52,39,75.0%,52,42,80.8%,52,39,75.0%,52,36,69.2%,52,44,84.6%,52,40,76.9%,52,43,82.7%,52,46,88.5%,52,42,80.8%,52,44,84.6%,52,44,84.6%,52,46,88.5%,52,44,84.6%,52,42,80.8%,52,43,82.7%,52,42,80.8%,52,34,65.4%,52,40,76.9%,52,39,75.0%,52,42,80.8%,52,42,80.8%,52,46,88.5%,52,45,86.5%,52,45,86.5%,52,47,90.4%,52,46,88.5%,52,43,82.7%,52,43,82.7%,52,46,88.5%,52,44,84.6%,52,46,88.5%,52,45,86.5%,52,45,86.5%,52,46,88.5%,52,46,88.5%,52,47,90.4%,52,45,86.5%,52,41,78.8%,52,50,96.2%,52,50,96.2%,52,50,96.2%,52,47,90.4%,52,48,92.3%,52,45,86.5%,52,44,84.6%,52,41,78.8%,52,42,80.8%,52,45,86.5%,52,47,90.4%,52,45,86.5%,52,47,90.4%,52,46,88.5%,52,46,88.5%,52,42,80.8%,52,48,92.3%,52,51,98.1%,52,47,90.4%,52,49,94.2%,52,50,96.2%,52,50,96.2%,52,50,96.2%,52,48,92.3%,52,52,100.0%,52,50,96.2%,52,50,96.2%,52,51,98.1%,52,52,100.0%,52,49,94.2%,52,49,94.2%,52,48,92.3%,52,50,96.2%,52,47,90.4%,52,45,86.5%,52,42,80.8%,52,43,82.7%,52,50,96.2%,52,49,94.2%,52,48,92.3%,52,40,76.9%,52,45,86.5%,52,44,84.6%,52,43,82.7%,52,49,94.2%
London Commissioning Region,,R1H,Barts Health NHS Trust,120,94,78.3%,120,103,85.8%,120,110,91.7%,120,109,90.8%,120,107,89.2%,120,99,82.5%,120,100,83.3%,121,112,92.6%,121,120,99.2%,121,110,90.9%,121,113,93.4%,120,113,94.2%,120,106,88.3%,120,105,87.5%,120,109,90.8%,120,112,93.3%,120,112,93.3%,120,116,96.7%,120,114,95.0%,120,110,91.7%,120,110,408.3%,120,114,95.0%,120,111,92.5%,120,113,94.2%,120,114,95.0%,120,116,96.7%,120,107,89.2%,120,102,85.0%,120,107,89.2%,120,104,86.7%,120,115,95.8%,120,113,94.2%,120,108,90.0%,120,99,82.5%,120,95,79.2%,120,94,78.3%,120,96,80.0%,120,112,93.3%,120,112,93.3%,120,62,51.7%,120,93,77.5%,120,90,75.0%,120,85,70.8%,120,109,90.8%,120,115,95.8%,120,115,95.8%,120,110,91.7%,120,104,86.7%,120,107,89.2%,120,112,93.3%,120,114,95.0%,120,116,96.7%,120,118,98.3%,120,114,95.0%,120,113,94.2%,120,106,88.3%,120,108,90.0%,120,114,95.0%,120,113,94.2%,120,117,97.5%,120,110,91.7%,120,108,90.0%,120,101,84.2%,120,105,87.5%,120,107,89.2%,120,105,87.5%,120,105,87.5%,120,106,88.3%,120,102,85.0%,120,100,83.3%,120,106,88.3%,120,106,88.3%,121,96,79.3%,121,95,78.5%,120,101,84.2%,120,103,85.8%,120,95,79.2%,120,100,83.3%,120,107,89.2%,120,111,92.5%,121,105,86.8%,120,110,91.7%,120,104,86.7%,120,100,83.3%,120,106,88.3%,120,108,90.0%,120,112,93.3%,121,109,90.1%,120,80,66.7%,120,100,83.3%,120,106,88.3%,120,111,92.5%,120,114,95.0%,120,114,95.0%,120,111,92.5%,120,109,90.8%,120,104,86.7%,120,98,81.7%,120,115,95.8%,120,109,90.8%,120,113,94.2%,120,109,90.8%,119,113,95.0%,120,103,85.8%,120,90,75.0%
London Commissioning Region,,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,18,13,72.2%,18,10,55.6%,21,13,61.9%,21,13,61.9%,21,10,47.6%,21,9,42.9%,21,9,42.9%,21,9,42.9%,21,12,57.1%,21,12,57.1%,21,15,71.4%,21,10,47.6%,21,10,47.6%,21,9,42.9%,19,16,84.2%,19,17,89.5%,19,17,89.5%,19,17,89.5%,19,16,84.2%,19,17,89.5%,19,14,73.7%,19,14,73.7%,19,17,89.5%,19,19,100.0%,19,19,100.0%,20,17,85.0%,19,16,84.2%,19,16,84.2%,19,12,63.2%,19,14,73.7%,19,15,78.9%,19,15,78.9%,19,15,78.9%,19,17,89.5%,19,16,84.2%,19,15,78.9%,19,18,94.7%,19,18,94.7%,19,17,89.5%,20,15,75.0%,19,16,84.2%,19,16,84.2%,19,18,94.7%,19,18,94.7%,19,14,73.7%,19,19,100.0%,20,19,95.0%,20,18,90.0%,20,20,100.0%,20,20,100.0%,20,20,100.0%,19,19,100.0%,20,20,100.0%,20,20,100.0%,20,19,95.0%,20,20,100.0%,20,18,90.0%,20,16,80.0%,19,19,100.0%,20,19,95.0%,20,20,100.0%,20,19,95.0%,20,20,100.0%,20,20,100.0%,20,18,90.0%,19,19,100.0%,20,19,95.0%,20,18,90.0%,20,15,75.0%,20,16,80.0%,20,18,90.0%,20,18,90.0%,20,19,95.0%,21,21,100.0%,20,19,95.0%,20,18,90.0%,20,19,95.0%,21,20,95.2%,20,6,30.0%,20,17,85.0%,25,24,96.0%,20,18,90.0%,20,15,75.0%,20,8,40.0%,21,17,81.0%,21,19,90.5%,21,21,100.0%,21,20,95.2%,21,20,95.2%,21,16,76.2%,19,18,94.7%,20,17,85.0%,21,19,90.5%,19,16,84.2%,19,19,100.0%,20,18,90.0%,20,17,85.0%,20,15,75.0%,20,16,80.0%,20,13,65.0%,20,16,80.0%,20,16,80.0%,20,16,80.0%,20,16,80.0%,21,18,85.7%
London Commissioning Region,,RJ6,Croydon Health Services NHS Trust,14,8,57.1%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,10,71.4%,14,11,78.6%,11,11,100.0%,15,15,100.0%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,11,78.6%,14,11,78.6%,14,12,85.7%,14,13,92.9%,14,12,85.7%,14,14,100.0%,15,15,100.0%,14,13,92.9%,14,14,100.0%,14,13,92.9%,14,14,100.0%,14,12,85.7%,14,13,92.9%,14,14,100.0%,14,13,92.9%,14,14,100.0%,14,13,92.9%,14,12,85.7%,14,14,100.0%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,12,85.7%,14,13,92.9%,14,14,100.0%,14,12,85.7%,14,12,85.7%,15,15,100.0%,14,14,100.0%,14,12,85.7%,14,12,85.7%,15,15,100.0%,14,13,92.9%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,11,78.6%,14,12,85.7%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,14,100.0%,14,12,85.7%,14,11,78.6%,14,14,100.0%,14,11,78.6%,14,11,78.6%,14,10,71.4%,14,12,85.7%,14,13,92.9%,14,14,100.0%,15,15,100.0%,14,12,85.7%,14,12,85.7%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,11,78.6%,14,11,78.6%,14,13,92.9%,14,14,100.0%,14,12,85.7%,14,13,92.9%,14,13,92.9%,14,10,71.4%,14,10,71.4%,14,12,85.7%,14,12,85.7%,14,13,92.9%,14,13,92.9%,14,13,92.9%,14,14,100.0%,14,14,100.0%,14,12,85.7%,15,15,100.0%,14,13,92.9%,14,13,92.9%,14,14,100.0%,14,14,100.0%,14,13,92.9%,14,13,92.9%,14,14,100.0%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,12,85.7%,14,13,92.9%,14,13,92.9%,14,13,92.9%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,12,85.7%,14,14,100.0%
London Commissioning Region,,RVR,Epsom And St Helier University Hospitals NHS Trust,21,18,85.7%,21,21,100.0%,21,19,90.5%,21,19,90.5%,21,21,100.0%,21,18,85.7%,21,17,81.0%,21,18,85.7%,21,21,100.0%,21,19,90.5%,21,20,95.2%,21,21,100.0%,21,18,85.7%,21,17,81.0%,21,18,85.7%,21,20,95.2%,21,18,85.7%,21,20,95.2%,21,18,85.7%,21,20,95.2%,21,21,100.0%,21,19,90.5%,21,21,100.0%,21,20,95.2%,21,19,90.5%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,20,95.2%,21,21,100.0%,21,20,95.2%,21,16,76.2%,21,17,81.0%,21,15,71.4%,21,17,81.0%,21,19,90.5%,21,21,100.0%,21,19,90.5%,21,21,100.0%,21,19,90.5%,21,17,81.0%,21,18,85.7%,21,18,85.7%,21,19,90.5%,21,19,90.5%,21,18,85.7%,21,18,85.7%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,19,90.5%,21,17,81.0%,21,21,100.0%,21,20,95.2%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,19,90.5%,21,19,90.5%,21,19,90.5%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,21,100.0%,21,20,95.2%,21,20,95.2%,21,18,85.7%,21,19,90.5%,21,21,100.0%,21,21,100.0%,21,20,95.2%,21,20,95.2%,21,18,85.7%,21,18,85.7%,21,18,85.7%,21,18,85.7%,21,18,85.7%,21,18,85.7%,21,18,85.7%,21,20,95.2%,21,21,100.0%,21,21,100.0%,21,20,95.2%,21,19,90.5%,21,20,95.2%,21,19,90.5%,21,16,76.2%,21,19,90.5%,21,20,95.2%,21,18,85.7%,21,18,85.7%,21,19,90.5%,21,0,0.0%,21,21,100.0%,21,19,90.5%,21,18,85.7%,21,17,81.0%,21,19,90.5%,21,19,90.5%,21,18,85.7%
London Commissioning Region,,RJ1,Guy's And St Thomas' NHS Foundation Trust,82,72,87.8%,82,78,95.1%,82,77,93.9%,82,74,90.2%,82,72,87.8%,82,73,89.0%,82,70,85.4%,82,76,92.7%,82,66,80.5%,82,74,90.2%,82,72,87.8%,82,73,89.0%,82,76,92.7%,82,73,89.0%,82,74,90.2%,82,80,97.6%,82,79,96.3%,82,76,92.7%,82,68,82.9%,82,68,82.9%,82,75,91.5%,82,77,93.9%,82,73,89.0%,82,78,95.1%,82,77,93.9%,82,76,92.7%,82,74,90.2%,82,78,95.1%,82,80,97.6%,82,78,95.1%,82,80,97.6%,82,79,96.3%,82,75,91.5%,82,71,86.6%,82,73,89.0%,82,75,91.5%,82,74,90.2%,82,77,93.9%,82,75,91.5%,82,76,92.7%,82,67,81.7%,82,67,81.7%,82,67,81.7%,82,73,89.0%,82,75,91.5%,82,73,89.0%,82,64,78.0%,82,65,79.3%,82,70,85.4%,82,80,97.6%,84,84,100.0%,84,84,100.0%,82,76,92.7%,82,76,92.7%,82,77,93.9%,82,73,89.0%,82,72,87.8%,82,76,92.7%,82,81,98.8%,82,77,93.9%,82,78,95.1%,82,78,95.1%,82,77,93.9%,82,80,97.6%,82,78,95.1%,82,77,93.9%,82,79,96.3%,82,80,97.6%,82,77,93.9%,82,74,90.2%,82,78,95.1%,82,69,84.1%,85,74,87.1%,85,70,82.4%,85,78,91.8%,85,74,87.1%,85,78,91.8%,85,75,88.2%,85,75,88.2%,85,79,92.9%,85,78,91.8%,85,74,87.1%,85,76,89.4%,85,71,83.5%,85,80,94.1%,85,79,92.9%,85,80,94.1%,85,80,94.1%,85,77,90.6%,85,79,92.9%,85,84,98.8%,85,80,94.1%,85,85,100.0%,85,78,91.8%,85,81,95.3%,85,80,94.1%,85,74,87.1%,85,75,88.2%,85,77,90.6%,85,77,90.6%,85,78,91.8%,85,80,94.1%,85,78,91.8%,85,81,95.3%,85,81,95.3%
London Commissioning Region,,RQX,Homerton University Hospital NHS Foundation Trust,8,8,100.0%,8,7,87.5%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,9,7,77.8%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,7,87.5%,8,7,87.5%,12,10,83.3%,12,12,100.0%,12,12,100.0%,12,12,100.0%,12,12,100.0%,12,12,100.0%,12,12,100.0%,12,12,100.0%,9,9,100.0%,8,8,100.0%,9,9,100.0%,8,5,62.5%,8,7,87.5%,8,6,75.0%,8,7,87.5%,8,8,100.0%,10,10,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,8,7,87.5%,8,5,62.5%,8,5,62.5%,8,6,75.0%,9,9,100.0%,8,7,87.5%,8,7,87.5%,8,7,87.5%,8,8,100.0%,8,8,100.0%,8,7,87.5%,8,6,75.0%,8,5,62.5%,8,4,50.0%,9,4,44.4%,8,4,50.0%,8,7,87.5%,8,6,75.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,6,75.0%,8,8,100.0%,8,7,87.5%,8,5,62.5%,8,6,75.0%,8,7,87.5%,8,7,87.5%,8,7,87.5%,8,6,75.0%,8,6,75.0%,8,7,87.5%,8,5,62.5%,8,4,50.0%,8,6,75.0%,8,6,75.0%,8,5,62.5%,8,5,62.5%,8,5,62.5%,8,2,25.0%,8,6,75.0%,8,6,75.0%,8,6,75.0%,8,6,75.0%,8,8,100.0%,8,7,87.5%,9,9,100.0%,9,9,100.0%,10,10,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,10,10,100.0%,10,10,100.0%,11,11,100.0%,11,11,100.0%,8,8,100.0%,9,9,100.0%,8,8,100.0%,8,8,100.0%,9,9,100.0%
