,,,,02-Dec-19,,,03-Dec-19,,,04-Dec-19,,,05-Dec-19,,,06-Dec-19,,,07-Dec-19,,,08-Dec-19,,,09-Dec-19,,,10-Dec-19,,,11-Dec-19,,,12-Dec-19,,,13-Dec-19,,,14-Dec-19,,,15-Dec-19,,,16-Dec-19,,,17-Dec-19,,,18-Dec-19,,,19-Dec-19,,,20-Dec-19,,,21-Dec-19,,,22-Dec-19,,,23-Dec-19,,,24-Dec-19,,,25-Dec-19,,,26-Dec-19,,,27-Dec-19,,,28-Dec-19,,,29-Dec-19,,,30-Dec-19,,,31-Dec-19,,,01-Jan-20,,,02-Jan-20,,,03-Jan-20,,,04-Jan-20,,,05-Jan-20,,,06-Jan-20,,,07-Jan-20,,,08-Jan-20,,,09-Jan-20,,,10-Jan-20,,,11-Jan-20,,,12-Jan-20,,,13-Jan-20,,,14-Jan-20,,,15-Jan-20,,,16-Jan-20,,,17-Jan-20,,,18-Jan-20,,,19-Jan-20,,,20-Jan-20,,,21-Jan-20,,,22-Jan-20,,,23-Jan-20,,,24-Jan-20,,,25-Jan-20,,,26-Jan-20,,,27-Jan-20,,,28-Jan-20,,,29-Jan-20,,,30-Jan-20,,,31-Jan-20,,,01-Feb-20,,,02-Feb-20,,,03-Feb-20,,,04-Feb-20,,,05-Feb-20,,,06-Feb-20,,,07-Feb-20,,,08-Feb-20,,,09-Feb-20,,,10-Feb-20,,,11-Feb-20,,,12-Feb-20,,,13-Feb-20,,,14-Feb-20,,,15-Feb-20,,,16-Feb-20,,,17-Feb-20,,,18-Feb-20,,,19-Feb-20,,,20-Feb-20,,,21-Feb-20,,,22-Feb-20,,,23-Feb-20,,,24-Feb-20,,,25-Feb-20,,,26-Feb-20,,,27-Feb-20,,,28-Feb-20,,,29-Feb-20,,,01-Mar-20,,
NHS England Region,,Code,Name,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate,CC Adult Open,CC Adult Occ,Occupancy rate
-,,-,ENGLAND,"3,730","3,152",84.5%,"3,672","3,087",84.1%,"3,678","3,122",84.9%,"3,682","3,087",83.8%,"3,654","3,005",82.2%,"3,628","2,937",81.0%,"3,635","2,945",81.0%,"3,678","3,072",83.5%,"3,686","3,134",85.0%,"3,693","3,161",85.6%,"3,692","3,100",84.0%,"3,678","3,133",85.2%,"3,638","2,966",81.5%,"3,648","2,978",81.6%,"3,694","3,125",84.6%,"3,712","3,203",86.3%,"3,694","3,188",86.3%,"3,674","3,179",86.5%,"3,651","3,042",83.3%,"3,624","2,957",81.6%,"3,631","2,909",80.1%,"3,660","2,955",80.7%,"3,638","2,839",78.0%,"3,657","2,780",76.0%,"3,670","2,838",77.3%,"3,660","2,907",79.4%,"3,629","2,899",79.9%,"3,644","2,874",78.9%,"3,688","2,991",81.1%,"3,667","3,025",82.5%,"3,668","2,964",80.8%,"3,686","3,075",83.4%,"3,696","3,076",83.2%,"3,647","2,983",81.8%,"3,615","3,024",83.7%,"3,698","3,163",85.5%,"3,695","3,178",86.0%,"3,697","3,171",85.8%,"3,697","3,192",86.3%,"3,684","3,074",83.4%,"3,653","3,002",82.2%,"3,652","2,996",82.0%,"3,682","3,080",83.7%,"3,690","3,137",85.0%,"3,704","3,131",84.5%,"3,705","3,146",84.9%,"3,679","3,066",83.3%,"3,646","2,945",80.8%,"3,644","2,920",80.1%,"3,684","2,997",81.4%,"3,683","3,031",82.3%,"3,689","3,056",82.8%,"3,680","3,104",84.3%,"3,675","3,034",82.6%,"3,630","2,937",80.9%,"3,639","2,875",79.0%,"3,675","3,017",82.1%,"3,673","3,050",83.0%,"3,682","3,118",84.7%,"3,654","3,044",83.3%,"3,675","3,027",82.4%,"3,642","2,919",80.1%,"3,629","2,900",79.9%,"3,688","3,062",83.0%,"3,693","3,066",83.0%,"3,686","3,089",83.8%,"3,691","3,011",81.6%,"3,649","2,990",81.9%,"3,631","2,878",79.3%,"3,641","2,800",76.9%,"3,688","3,020",81.9%,"3,681","3,049",82.8%,"3,689","3,054",82.8%,"3,700","3,052",82.5%,"3,679","3,027",82.3%,"3,637","2,917",80.2%,"3,635","2,864",78.8%,"3,677","3,003",81.7%,"3,684","2,996",81.3%,"3,680","3,011",81.8%,"3,691","3,018",81.8%,"3,673","3,000",81.7%,"3,630","2,897",79.8%,"3,643","2,886",79.2%,"3,691","3,000",81.3%,"3,675","3,070",83.5%,"3,669","3,090",84.2%,"3,670","3,039",82.8%,"3,684","2,986",81.1%,"3,641","2,909",79.9%,"3,636","2,888",79.4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Commissioning Region,,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",52,39,75.0%,52,37,71.2%,52,37,71.2%,52,40,76.9%,52,43,82.7%,52,42,80.8%,52,46,88.5%,52,46,88.5%,52,41,78.8%,52,46,88.5%,52,41,78.8%,52,49,94.2%,52,46,88.5%,52,39,75.0%,52,41,78.8%,52,42,80.8%,52,47,90.4%,52,43,82.7%,52,37,71.2%,52,47,90.4%,52,39,75.0%,52,38,73.1%,52,38,73.1%,52,36,69.2%,52,45,86.5%,52,44,84.6%,52,44,84.6%,52,41,78.8%,52,36,69.2%,52,42,80.8%,52,48,92.3%,52,48,92.3%,52,48,92.3%,52,47,90.4%,52,48,92.3%,52,43,82.7%,52,48,92.3%,52,47,90.4%,52,46,88.5%,52,44,84.6%,52,40,76.9%,52,40,76.9%,52,46,88.5%,52,43,82.7%,52,47,90.4%,52,42,80.8%,52,43,82.7%,52,42,80.8%,52,42,80.8%,52,45,86.5%,52,42,80.8%,52,33,63.5%,52,36,69.2%,52,39,75.0%,52,39,75.0%,52,34,65.4%,52,33,63.5%,52,38,73.1%,52,46,88.5%,52,43,82.7%,52,41,78.8%,52,38,73.1%,52,41,78.8%,52,37,71.2%,52,37,71.2%,52,41,78.8%,52,41,78.8%,52,39,75.0%,52,44,84.6%,52,40,76.9%,52,44,84.6%,52,49,94.2%,52,42,80.8%,52,42,80.8%,52,43,82.7%,52,42,80.8%,52,38,73.1%,52,44,84.6%,52,47,90.4%,52,48,92.3%,52,48,92.3%,52,44,84.6%,52,47,90.4%,52,45,86.5%,52,51,98.1%,52,41,78.8%,52,40,76.9%,52,45,86.5%,52,43,82.7%,52,43,82.7%,52,37,71.2%
London Commissioning Region,,R1H,Barts Health NHS Trust,122,107,87.7%,122,110,90.2%,122,113,92.6%,122,109,89.3%,122,107,87.7%,122,108,88.5%,122,102,83.6%,122,107,87.7%,122,111,91.0%,122,113,92.6%,122,112,91.8%,122,111,91.0%,122,111,91.0%,122,113,92.6%,122,112,91.8%,122,116,95.1%,122,117,95.9%,122,113,92.6%,122,115,94.3%,122,112,91.8%,122,113,92.6%,122,104,85.2%,122,95,77.9%,122,93,76.2%,122,90,73.8%,122,89,73.0%,122,93,76.2%,122,91,74.6%,122,95,77.9%,122,103,84.4%,122,94,77.0%,122,88,72.1%,122,97,79.5%,122,96,78.7%,122,92,75.4%,122,94,77.0%,122,101,82.8%,122,104,85.2%,122,97,79.5%,122,105,86.1%,122,109,89.3%,122,102,83.6%,124,101,81.5%,122,103,84.4%,122,110,90.2%,122,113,92.6%,122,108,88.5%,122,108,88.5%,122,110,90.2%,124,101,81.5%,122,103,84.4%,122,115,94.3%,123,115,93.5%,122,115,94.3%,122,116,95.1%,122,109,89.3%,122,101,82.8%,122,94,77.0%,122,104,85.2%,122,103,84.4%,122,103,84.4%,123,96,78.0%,122,100,82.0%,122,90,73.8%,122,85,69.7%,122,96,78.7%,122,96,78.7%,122,99,81.1%,122,90,73.8%,122,88,72.1%,122,93,76.2%,122,102,83.6%,122,104,85.2%,122,107,87.7%,122,108,88.5%,122,106,86.9%,122,97,79.5%,122,90,73.8%,122,85,69.7%,122,96,78.7%,122,96,78.7%,122,99,81.1%,122,90,73.8%,122,88,72.1%,122,104,85.2%,122,113,92.6%,122,111,91.0%,122,114,93.4%,122,103,84.4%,122,107,87.7%,122,104,85.2%
London Commissioning Region,,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,21,20,95.2%,20,20,100.0%,20,18,90.0%,20,19,95.0%,10,10,100.0%,20,17,85.0%,20,17,85.0%,20,16,80.0%,20,17,85.0%,20,17,85.0%,20,17,85.0%,20,10,50.0%,20,16,80.0%,20,17,85.0%,20,18,90.0%,20,18,90.0%,20,19,95.0%,20,19,95.0%,20,16,80.0%,20,17,85.0%,20,16,80.0%,20,15,75.0%,20,15,75.0%,20,16,80.0%,20,17,85.0%,20,16,80.0%,20,15,75.0%,20,14,70.0%,20,15,75.0%,20,16,80.0%,20,16,80.0%,20,15,75.0%,28,18,64.3%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,20,100.0%,20,20,100.0%,20,20,100.0%,20,18,90.0%,20,20,100.0%,20,20,100.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,20,100.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,18,90.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,20,19,95.0%,22,21,95.5%,22,21,95.5%,22,21,95.5%,22,21,95.5%,22,21,95.5%,22,21,95.5%,22,18,81.8%,22,18,81.8%,22,21,95.5%,22,21,95.5%,22,21,95.5%,22,21,95.5%,22,21,95.5%,22,21,95.5%,22,18,81.8%,22,18,81.8%,22,18,81.8%,22,18,81.8%,22,18,81.8%,22,18,81.8%,22,18,81.8%,22,16,72.7%,22,16,72.7%,22,16,72.7%,0,0,-,0,0,-,0,0,-,22,16,72.7%,22,16,72.7%,22,16,72.7%
London Commissioning Region,,RJ6,Croydon Health Services NHS Trust,14,14,100.0%,14,14,100.0%,14,13,92.9%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,13,92.9%,14,11,78.6%,14,13,92.9%,15,15,100.0%,14,12,85.7%,14,12,85.7%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,13,92.9%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,14,100.0%,14,12,85.7%,14,13,92.9%,14,12,85.7%,14,14,100.0%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,13,92.9%,14,14,100.0%,14,13,92.9%,14,11,78.6%,14,13,92.9%,14,13,92.9%,14,13,92.9%,14,12,85.7%,15,15,100.0%,15,13,86.7%,15,14,93.3%,14,14,100.0%,14,13,92.9%,14,14,100.0%,14,11,78.6%,14,12,85.7%,14,8,57.1%,14,12,85.7%,14,13,92.9%,14,11,78.6%,14,11,78.6%,14,12,85.7%,14,12,85.7%,14,12,85.7%,14,11,78.6%,14,10,71.4%,14,12,85.7%,14,11,78.6%,14,13,92.9%,14,14,100.0%,14,14,100.0%,14,10,71.4%,14,10,71.4%,14,10,71.4%,14,11,78.6%,14,10,71.4%,14,12,85.7%,14,11,78.6%,14,13,92.9%,15,15,100.0%,14,13,92.9%,14,14,100.0%,14,13,92.9%,14,14,100.0%,14,11,78.6%,14,11,78.6%,14,13,92.9%,14,13,92.9%,14,12,85.7%,14,14,100.0%,14,13,92.9%,14,13,92.9%,14,14,100.0%,14,14,100.0%,15,15,100.0%,14,13,92.9%,14,14,100.0%,15,15,100.0%,14,13,92.9%,14,13,92.9%,14,14,100.0%,14,14,100.0%,14,14,100.0%
London Commissioning Region,,RVR,Epsom and St Helier University Hospitals NHS Trust,21,19,90.5%,21,15,71.4%,21,18,85.7%,21,18,85.7%,21,16,76.2%,21,16,76.2%,21,16,76.2%,21,17,81.0%,21,16,76.2%,21,19,90.5%,21,18,85.7%,21,18,85.7%,21,15,71.4%,21,14,66.7%,21,15,71.4%,21,17,81.0%,21,16,76.2%,21,14,66.7%,21,15,71.4%,21,14,66.7%,21,17,81.0%,21,17,81.0%,21,15,71.4%,21,13,61.9%,21,14,66.7%,21,14,66.7%,21,14,66.7%,21,12,57.1%,21,14,66.7%,21,16,76.2%,21,15,71.4%,21,15,71.4%,21,17,81.0%,21,16,76.2%,21,18,85.7%,21,19,90.5%,21,16,76.2%,21,15,71.4%,21,16,76.2%,21,15,71.4%,21,16,76.2%,21,17,81.0%,21,20,95.2%,21,17,81.0%,21,15,71.4%,21,17,81.0%,21,17,81.0%,21,17,81.0%,21,17,81.0%,21,19,90.5%,21,16,76.2%,21,17,81.0%,21,17,81.0%,21,18,85.7%,21,17,81.0%,21,17,81.0%,21,19,90.5%,21,17,81.0%,21,17,81.0%,21,16,76.2%,21,18,85.7%,21,18,85.7%,21,18,85.7%,21,19,90.5%,21,14,66.7%,21,17,81.0%,21,15,71.4%,21,16,76.2%,21,18,85.7%,21,18,85.7%,21,19,90.5%,21,17,81.0%,21,19,90.5%,21,17,81.0%,21,17,81.0%,21,16,76.2%,21,18,85.7%,21,18,85.7%,21,18,85.7%,21,16,76.2%,21,17,81.0%,21,13,61.9%,21,13,61.9%,21,17,81.0%,21,18,85.7%,21,18,85.7%,21,14,66.7%,21,14,66.7%,21,15,71.4%,21,16,76.2%,21,14,66.7%
London Commissioning Region,,RJ1,Guy's and St Thomas' NHS Foundation Trust,85,71,83.5%,85,74,87.1%,85,75,88.2%,85,71,83.5%,85,80,94.1%,85,77,90.6%,85,71,83.5%,85,77,90.6%,85,75,88.2%,85,77,90.6%,85,77,90.6%,85,81,95.3%,85,82,96.5%,85,76,89.4%,85,71,83.5%,85,71,83.5%,85,72,84.7%,85,82,96.5%,85,73,85.9%,85,73,85.9%,85,74,87.1%,85,76,89.4%,85,69,81.2%,85,67,78.8%,85,66,77.6%,85,71,83.5%,85,70,82.4%,85,70,82.4%,85,69,81.2%,85,85,100.0%,85,60,70.6%,85,67,78.8%,85,66,77.6%,85,65,76.5%,85,72,84.7%,85,75,88.2%,85,76,89.4%,85,72,84.7%,85,73,85.9%,85,69,81.2%,85,74,87.1%,85,74,87.1%,85,70,82.4%,85,68,80.0%,85,68,80.0%,85,72,84.7%,85,80,94.1%,85,81,95.3%,85,72,84.7%,85,64,75.3%,85,76,89.4%,85,76,89.4%,85,75,88.2%,85,78,91.8%,85,81,95.3%,85,67,78.8%,85,74,87.1%,85,78,91.8%,85,76,89.4%,85,66,77.6%,85,76,89.4%,85,79,92.9%,85,69,81.2%,85,72,84.7%,85,70,82.4%,85,74,87.1%,85,74,87.1%,85,81,95.3%,85,78,91.8%,85,68,80.0%,85,69,81.2%,85,78,91.8%,85,76,89.4%,85,76,89.4%,85,76,89.4%,85,75,88.2%,85,75,88.2%,85,73,85.9%,85,75,88.2%,85,73,85.9%,85,74,87.1%,85,78,91.8%,85,79,92.9%,85,75,88.2%,85,75,88.2%,85,77,90.6%,85,76,89.4%,85,75,88.2%,85,81,95.3%,85,81,95.3%,85,80,94.1%
London Commissioning Region,,RQX,Homerton University Hospital NHS Foundation Trust,10,10,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,8,100.0%,8,7,87.5%,8,7,87.5%,8,8,100.0%,9,9,100.0%,12,12,100.0%,12,12,100.0%,10,10,100.0%,10,10,100.0%,9,9,100.0%,12,12,100.0%,12,12,100.0%,13,13,100.0%,11,11,100.0%,12,12,100.0%,8,7,87.5%,9,9,100.0%,9,9,100.0%,8,8,100.0%,9,9,100.0%,9,9,100.0%,8,7,87.5%,10,10,100.0%,9,9,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,9,9,100.0%,12,12,100.0%,10,10,100.0%,11,11,100.0%,12,12,100.0%,13,13,100.0%,13,13,100.0%,15,15,100.0%,13,13,100.0%,16,16,100.0%,14,14,100.0%,13,13,100.0%,12,12,100.0%,14,14,100.0%,13,13,100.0%,12,12,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,8,8,100.0%,10,10,100.0%,10,10,100.0%,11,11,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,8,8,100.0%,11,11,100.0%,12,12,100.0%,12,12,100.0%,14,14,100.0%,12,12,100.0%,9,9,100.0%,8,8,100.0%,11,11,100.0%,9,9,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,13,13,100.0%,13,13,100.0%,14,14,100.0%,15,15,100.0%,23,23,100.0%,10,10,100.0%,10,10,100.0%,11,11,100.0%,11,11,100.0%,11,11,100.0%,12,12,100.0%,10,10,100.0%,9,9,100.0%,9,9,100.0%,11,11,100.0%,10,10,100.0%,11,11,100.0%,11,11,100.0%,9,9,100.0%,9,9,100.0%
