,,,,30-Nov-15,,01-Dec-15,,02-Dec-15,,03-Dec-15,,05-Dec-15,,07-Dec-15,,08-Dec-15,,09-Dec-15,,10-Dec-15,,12-Dec-15,,14-Dec-15,,15-Dec-15,,16-Dec-15,,17-Dec-15,,19-Dec-15,,21-Dec-15,,22-Dec-15,,23-Dec-15,,26-Dec-15,,29-Dec-15,,30-Dec-15,,02-Jan-16,,04-Jan-16,,05-Jan-16,,06-Jan-16,,07-Jan-16,,09-Jan-16,,11-Jan-16,,12-Jan-16,,13-Jan-16,,14-Jan-16,,16-Jan-16,,18-Jan-16,,19-Jan-16,,20-Jan-16,,21-Jan-16,,23-Jan-16,,25-Jan-16,,26-Jan-16,,27-Jan-16,,28-Jan-16,,30-Jan-16,,01-Feb-16,,02-Feb-16,,03-Feb-16,,04-Feb-16,,06-Feb-16,,08-Feb-16,,09-Feb-16,,10-Feb-16,,11-Feb-16,,13-Feb-16,,15-Feb-16,,16-Feb-16,,17-Feb-16,,18-Feb-16,,20-Feb-16,,22-Feb-16,,23-Feb-16,,24-Feb-16,,25-Feb-16,,27-Feb-16,
Regional Team,,Code,Name,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ
-,,-,ENGLAND,"3,759","3,184","3,808","3,188","3,837","3,311","3,785","3,300","3,745","3,037","3,844","3,260","3,721","3,188","3,794","3,272","3,847","3,330","3,793","3,166","3,827","3,262","3,834","3,331","3,836","3,357","3,853","3,303","3,825","3,127","3,811","3,182","3,833","3,201","3,818","3,123","3,726","2,904","3,791","3,097","3,776","3,107","3,969","3,261","3,842","3,291","3,816","3,411","3,875","3,429","3,865","3,394","4,018","3,393","3,876","3,405","3,821","3,306","3,860","3,371","3,865","3,375","4,021","3,360","3,867","3,356","3,877","3,367","3,882","3,382","3,837","3,351","3,853","3,273","3,851","3,318","3,850","3,429","3,866","3,399","3,863","3,392","3,833","3,263","3,836","3,312","3,829","3,364","3,858","3,382","3,750","3,315","3,826","3,211","3,851","3,353","3,845","3,357","3,845","3,376","3,834","3,319","3,808","3,160","3,809","3,286","3,828","3,340","3,829","3,293","3,817","3,233","3,768","3,171","3,862","3,356","3,861","3,412","3,853","3,384","3,862","3,424","3,733","3,129"
,,,,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,3,4,5,6,7,8,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12,3,4,5,6,7,8,9,10,11,12
"Arden, Herefordshire And Worcestershire Area Team",,RJC,South Warwickshire NHS Foundation Trust,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,6,7,7,7,5,7,5,7,6,7,6,7,6,7,7,7,5,7,6,7,4,7,4,7,5,7,4,7,5,7,5,7,5,7,6,7,7,7,5,7,7,7,6,7,7,7,5,7,6,7,7,7,5,7,6,7,7,7,7,7,5,7,5,7,5,7,7,7,7,7,7,7,5,7,6
"Arden, Herefordshire And Worcestershire Area Team",,RKB,University Hospitals Coventry And Warwickshire NHS Trust,39,39,39,37,39,39,39,39,39,39,39,39,39,39,39,38,39,39,39,38,39,39,39,39,39,39,39,38,39,39,39,38,39,39,39,37,39,38,39,39,39,0,39,39,39,39,39,38,39,39,39,39,39,39,39,39,39,39,39,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,0,39,37,39,39,39,39,39,39,39,38,39,39,39,39,39,39,39,39,39,39,39,37,39,38,39,37,39,37,39,39,39,39,39,39,39,39,39,36,39,39,39,39,39,39,39,36,39,39
"Arden, Herefordshire And Worcestershire Area Team",,RLQ,Wye Valley NHS Trust,12,10,12,9,12,9,12,11,12,11,12,10,12,12,12,10,12,11,13,13,12,11,12,9,12,11,12,12,12,9,12,9,12,7,12,5,9,9,9,9,10,10,12,9,12,10,12,12,12,12,12,11,12,12,12,11,12,12,12,11,12,12,12,12,12,10,12,11,13,13,12,10,12,11,12,10,12,11,12,11,12,11,12,12,12,12,12,12,12,9,12,10,13,13,12,12,12,10,12,10,12,9,12,12,12,11,12,11,12,12,12,11,12,11,12,11,12,12,12,12,12,11,12,11
"Arden, Herefordshire And Worcestershire Area Team",,RLT,George Eliot Hospital NHS Trust,8,6,8,6,8,5,8,5,8,5,8,4,8,5,8,4,8,4,8,6,8,7,8,6,8,6,8,5,8,4,8,4,8,4,8,5,8,7,8,7,8,8,8,6,8,6,8,8,8,8,8,6,8,7,8,7,8,8,8,8,8,8,8,7,8,7,8,6,8,5,8,7,8,6,8,7,8,8,8,5,8,3,8,6,8,6,8,7,8,8,8,7,8,6,8,6,8,7,8,8,8,7,8,7,8,8,8,8,8,7,8,7,8,5,8,7,8,8,8,5,8,7,8,5
"Arden, Herefordshire And Worcestershire Area Team",,RWP,Worcestershire Acute Hospitals NHS Trust,26,22,26,25,26,23,26,25,26,25,26,23,26,23,26,23,26,21,26,21,26,25,26,24,26,24,26,24,26,25,26,25,26,20,26,21,26,23,26,25,26,24,26,25,26,24,26,5,26,24,26,25,26,24,26,24,26,22,26,23,26,23,26,23,26,24,26,24,26,22,26,24,26,24,26,22,26,24,26,22,26,24,26,25,26,26,26,23,26,24,26,23,26,21,26,24,26,25,26,24,26,23,26,24,26,25,26,25,26,24,26,22,26,25,26,25,26,23,26,23,26,24,26,24
"Bath, Gloucestershire, Swindon And Wiltshire Area Team",,RD1,Royal United Hospital Bath NHS Foundation Trust,13,12,13,11,13,13,14,14,13,9,13,12,13,12,13,10,13,9,13,12,13,12,14,12,13,12,13,10,13,7,13,10,13,8,13,7,13,9,14,11,13,11,13,11,13,13,13,9,13,12,13,11,13,8,13,11,13,12,13,12,13,10,13,9,13,9,13,10,13,10,13,10,13,12,13,11,13,13,16,16,13,9,13,10,12,10,13,11,13,11,13,12,13,11,13,10,13,10,13,9,13,11,13,7,13,7,13,8,13,10,13,10,13,8,13,11,13,12,13,11,13,11,13,10
"Bath, Gloucestershire, Swindon And Wiltshire Area Team",,RN3,Great Western Hospitals NHS Foundation Trust,-,-,12,10,12,12,12,10,12,11,12,10,12,10,12,8,12,9,12,9,12,9,12,10,12,10,-,-,12,11,12,8,12,8,12,10,12,3,12,5,12,5,12,8,12,6,12,10,12,9,12,12,12,11,12,11,12,7,12,11,12,11,12,7,12,10,12,8,12,9,12,6,12,6,12,8,12,8,12,9,12,8,12,10,12,9,12,11,12,8,12,9,12,9,12,9,12,4,12,4,12,4,12,4,12,3,12,3,12,5,12,5,12,7,12,6,12,10,12,7,12,7,12,9
