,,,,01-Dec-16,,02-Dec-16,,03-Dec-16,,04-Dec-16,,05-Dec-16,,06-Dec-16,,07-Dec-16,,08-Dec-16,,09-Dec-16,,10-Dec-16,,11-Dec-16,,12-Dec-16,,13-Dec-16,,14-Dec-16,,15-Dec-16,,16-Dec-16,,17-Dec-16,,18-Dec-16,,19-Dec-16,,20-Dec-16,,21-Dec-16,,22-Dec-16,,23-Dec-16,,24-Dec-16,,25-Dec-16,,26-Dec-16,,27-Dec-16,,28-Dec-16,,29-Dec-16,,30-Dec-16,,31-Dec-16,,01-Jan-17,,02-Jan-17,,03-Jan-17,,04-Jan-17,,05-Jan-17,,06-Jan-17,,07-Jan-17,,08-Jan-17,,09-Jan-17,,10-Jan-17,,11-Jan-17,,12-Jan-17,,13-Jan-17,,14-Jan-17,,15-Jan-17,,16-Jan-17,,17-Jan-17,,18-Jan-17,,19-Jan-17,,20-Jan-17,,21-Jan-17,,22-Jan-17,,23-Jan-17,,24-Jan-17,,25-Jan-17,,26-Jan-17,,27-Jan-17,,28-Jan-17,,29-Jan-17,,30-Jan-17,,31-Jan-17,,01-Feb-17,,02-Feb-17,,03-Feb-17,,04-Feb-17,,05-Feb-17,,06-Feb-17,,07-Feb-17,,08-Feb-17,,09-Feb-17,,10-Feb-17,,11-Feb-17,,12-Feb-17,,13-Feb-17,,14-Feb-17,,15-Feb-17,,16-Feb-17,,17-Feb-17,,18-Feb-17,,19-Feb-17,,20-Feb-17,,21-Feb-17,,22-Feb-17,,23-Feb-17,,24-Feb-17,,25-Feb-17,,26-Feb-17,,27-Feb-17,,28-Feb-17,,01-Mar-17,,02-Mar-17,,03-Mar-17,,04-Mar-17,,05-Mar-17,,06-Mar-17,,07-Mar-17,,08-Mar-17,,09-Mar-17,,10-Mar-17,,11-Mar-17,,12-Mar-17,
NHS England Region,,Code,Name,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ,CC Adult avail,CC Adult Occ
-,,-,ENGLAND,"3,577","3,016","3,314","2,735","3,171","2,551","3,403","2,758","3,788","3,211","3,795","3,235","3,747","3,266","3,764","3,265","3,525","2,980","3,482","2,876","3,650","3,076","3,593","3,141","3,586","3,140","3,689","3,196","3,658","3,175","3,538","2,996","3,410","2,802","3,623","2,976","3,650","3,020","3,799","3,200","3,790","3,169","3,786","3,167","3,572","2,851","3,638","2,849","3,661","2,805","3,718","2,904","3,744","2,942","3,775","3,121","3,813","3,195","3,773","3,199","3,751","3,147","3,661","2,805","3,759","3,101","3,816","3,296","3,821","3,360","3,862","3,382","3,852","3,390","3,821","3,360","3,661","2,805","3,856","3,337","3,907","3,398","3,883","3,380","3,794","3,272","3,855","3,300","3,856","3,226","3,851","3,174","3,794","3,221","3,871","3,344","3,897","3,351","3,908","3,376","3,860","3,341","3,834","3,216","3,853","3,128","3,861","3,280","3,864","3,313","3,903","3,357","3,897","3,372","3,812","3,242","3,803","3,192","3,805","3,197","3,787","3,242","3,787","3,326","3,807","3,343","3,805","3,303","3,847","3,347","3,860","3,292","3,849","3,221","3,908","3,380","3,916","3,374","3,920","3,418","3,912","3,367","3,877","3,248","3,864","3,176","3,863","3,078","3,907","3,265","3,878","3,273","3,905","3,221","3,908","3,283","3,831","3,141","3,805","3,063","3,774","2,993","3,864","3,196","3,734","3,169","3,882","3,243","3,876","3,281","3,837","3,218","3,805","3,101","3,859","3,102","3,885","3,222","3,924","3,305","3,918","3,383","3,906","3,337","3,761","3,046","3,757","2,959","3,903","3,079","3,929","3,288","3,919","3,336","3,919","3,304","3,921","3,321","3,808","3,204","3,776","3,055","3,888","3,118"
,,,,3,4,5,6,9,10,11,12,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24,3,4,5,6,9,10,11,12,19,20,21,22,23,24
London Commissioning Region,,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",58,56,0,0,0,0,58,46,58,48,58,49,58,48,58,46,58,47,58,51,58,53,58,50,58,51,58,47,58,47,58,42,58,42,58,42,58,45,58,43,58,44,58,49,58,52,58,52,58,49,58,54,58,46,58,50,58,51,58,51,58,53,58,55,58,49,58,55,58,54,58,53,58,56,58,54,58,56,58,54,58,50,58,50,58,54,58,56,58,56,58,53,58,46,58,52,58,52,58,56,58,55,58,51,58,49,58,49,58,56,58,53,58,49,58,52,58,53,58,54,58,50,58,50,58,53,58,53,58,54,58,54,58,54,58,48,58,46,58,49,58,48,58,40,58,43,58,52,58,50,58,48,58,49,58,44,58,47,58,46,58,47,58,46,58,48,58,48,58,51,58,46,58,46,58,50,58,45,58,44,58,52,58,49,58,44,58,42,58,43,58,51,58,53,58,51,58,51,58,49,58,50,58,54
London Commissioning Region,,R1H,Barts Health NHS Trust,100,89,100,87,100,86,100,84,100,87,100,89,100,80,100,84,100,84,100,87,100,88,101,91,101,92,100,96,100,99,100,88,100,88,100,89,100,92,102,94,102,92,102,94,103,93,103,85,103,71,103,77,103,75,103,75,93,67,102,79,102,80,102,83,102,81,102,85,102,85,102,85,102,89,102,90,102,83,103,87,103,90,103,93,107,94,107,94,103,81,103,77,101,89,103,90,106,91,106,95,106,95,106,95,106,89,106,94,106,89,106,100,106,99,106,99,106,95,106,94,106,98,106,94,106,95,106,101,106,93,106,90,106,89,106,87,106,89,106,94,112,104,112,94,112,106,112,102,113,104,113,109,113,103,113,103,113,100,113,102,114,94,114,99,114,106,114,106,114,105,114,94,112,105,112,98,114,106,113,106,114,108,113,113,114,101,114,101,114,101,114,101,114,103,114,107,114,110,114,111,114,106,113,104
London Commissioning Region,,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,9,7,10,10,10,6,9,7,9,7,9,7,9,8,0,0,9,9,10,10,10,7,10,10,10,10,12,12,13,12,10,10,21,21,21,21,21,19,21,9,21,20,22,19,22,8,22,17,22,16,22,17,22,18,22,20,20,18,22,12,22,11,22,20,22,21,22,19,22,20,10,10,10,10,10,9,10,8,10,9,10,9,10,10,22,20,22,19,22,15,22,17,22,18,22,18,22,18,22,18,22,19,22,18,22,16,22,15,22,19,22,18,22,18,22,22,22,21,22,18,22,18,22,17,22,19,22,18,22,20,22,20,22,19,22,19,22,18,22,14,22,17,22,16,22,16,22,16,22,20,22,20,22,20,22,20,22,20,22,19,22,13,22,19,22,19,22,16,22,16,22,16,22,14,22,11,22,12,22,10,22,11,22,15,22,15,22,17,22,19,22,18,22,17,22,12
London Commissioning Region,,RJ6,Croydon Health Services NHS Trust,14,13,0,0,0,0,0,0,14,14,14,8,14,9,14,13,14,13,14,14,14,14,14,14,15,15,15,15,14,13,14,12,14,13,15,15,15,15,14,14,14,14,14,9,14,14,14,14,14,13,14,13,14,12,14,11,14,12,15,14,14,12,14,13,14,13,14,13,15,15,15,14,15,15,15,15,14,14,15,15,14,14,14,14,14,14,14,14,14,13,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,12,14,13,14,12,14,13,14,14,14,14,14,14,15,15,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,11,14,11,14,10,14,10,14,12,14,13,14,13,14,14,14,14,14,12,14,11,14,12,14,12,14,13,14,11,14,11,14,10,14,12,14,12,14,12,14,13,14,13,14,13,15,15,14,13,14,12,14,13,14,13,15,15,14,13,14,14,14,13,14,13
London Commissioning Region,,RVR,Epsom And St Helier University Hospitals NHS Trust,21,17,21,20,21,18,21,17,21,16,21,20,21,19,21,19,21,19,21,17,21,19,21,19,21,20,21,19,21,20,21,21,21,21,21,19,21,17,21,19,21,17,21,18,21,19,21,19,21,20,21,18,21,17,0,0,21,17,21,16,21,20,21,17,21,16,21,17,21,15,21,17,21,18,21,16,21,20,21,20,21,20,21,20,21,21,21,18,21,19,21,18,21,18,21,19,21,16,21,16,21,18,21,18,21,17,21,20,21,21,21,19,21,19,21,15,21,17,21,18,21,21,21,20,21,17,21,21,21,19,21,17,21,19,21,21,21,19,21,19,21,21,21,21,21,18,21,19,21,19,21,17,21,21,21,18,21,21,21,21,21,21,21,20,21,18,21,19,21,19,21,18,21,17,21,17,21,15,21,20,21,16,21,20,21,18,21,18,21,17,21,21,21,19,21,19,21,19,21,17,21,18,21,20
London Commissioning Region,,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London Commissioning Region,,RJ1,Guy's And St Thomas' NHS Foundation Trust,82,74,82,78,82,76,82,75,82,75,82,79,82,80,82,79,82,78,82,75,82,77,82,74,82,76,82,81,82,79,82,77,82,76,82,76,82,76,82,77,82,79,82,80,82,79,82,79,82,79,82,79,82,79,82,80,82,76,82,76,82,75,82,71,82,70,82,76,82,73,82,72,82,68,82,69,82,67,82,66,82,65,82,77,82,79,82,79,82,73,82,77,82,65,82,72,82,74,82,77,82,79,82,79,82,71,82,72,82,75,82,75,82,80,82,79,82,76,82,74,82,67,82,80,82,77,82,77,82,79,82,75,82,78,82,80,82,80,82,80,82,80,82,75,82,72,82,72,82,73,82,79,82,77,82,75,82,75,82,73,82,71,82,74,82,73,82,79,82,81,82,80,82,77,82,79,82,80,82,77,82,80,82,76,82,76,82,76,82,76,82,76,82,78,82,78,82,77,82,76,82,73,82,74
